Time,Position1,Position2,,,,,,,,,,,,,,,,,
18.65,0.246,-0.0155,,,,,,,,,,,,,,,,,
18.7,0.2459,-0.0158,,,,,,,,,,,,,,,,,
18.75,0.2458,-0.016,,,,,,,,,,,,,,,,,
18.8,0.2458,-0.016,,,,,,,,,,,,,,,,,
18.85,0.2458,-0.0159,,,,,,,,,,,,,,,,,
18.9,0.2458,-0.0156,,,,,,,,,,,,,,,,,
18.95,0.2456,-0.0151,,,,,,,,,,,,,,,,,
19,0.2454,-0.0146,,,,,,,,,,,,,,,,,
19.05,0.245,-0.0141,,,,,,,,,,,,,,,,,
19.1,0.2445,-0.0134,,,,,,,,,,,,,,,,,
19.15,0.2437,-0.0128,,,,,,,,,,,,,,,,,
19.2,0.2428,-0.0123,,,,,,,,,,,,,,,,,
19.25,0.2417,-0.0118,,,,,,,,,,,,,,,,,
19.3,0.2404,-0.0116,,,,,,,,,,,,,,,,,
19.35,0.2389,-0.0116,,,,,,,,,,,,,,,,,
19.4,0.2372,-0.0118,,,,,,,,,,,,,,,,,
19.45,0.2356,-0.0124,,,,,,,,,,,,,,,,,
19.5,0.2338,-0.0133,,,,,,,,,,,,,,,,,
19.55,0.2321,-0.0145,,,,,,,,,,,,,,,,,
19.6,0.2305,-0.0158,,,,,,,,,,,,,,,,,
19.65,0.229,-0.0175,,,,,,,,,,,,,,,,,
19.7,0.2276,-0.0191,,,,,,,,,,,,,,,,,
19.75,0.2265,-0.021,,,,,,,,,,,,,,,,,
19.8,0.2257,-0.0229,,,,,,,,,,,,,,,,,
19.85,0.2253,-0.0247,,,,,,,,,,,,,,,,,
19.9,0.2253,-0.0263,,,,,,,,,,,,,,,,,
19.95,0.2257,-0.0277,,,,,,,,,,,,,,,,,
20,0.2265,-0.0289,,,,,,,,,,,,,,,,,
20.05,0.2276,-0.0296,,,,,,,,,,,,,,,,,
20.1,0.229,-0.0298,,,,,,,,,,,,,,,,,
20.15,0.2305,-0.0296,,,,,,,,,,,,,,,,,
20.2,0.2317,-0.0289,,,,,,,,,,,,,,,,,
20.25,0.2326,-0.0277,,,,,,,,,,,,,,,,,
20.3,0.2332,-0.0263,,,,,,,,,,,,,,,,,
20.35,0.2334,-0.0247,,,,,,,,,,,,,,,,,
20.4,0.2331,-0.0229,,,,,,,,,,,,,,,,,
20.45,0.2324,-0.0212,,,,,,,,,,,,,,,,,
20.5,0.2314,-0.0196,,,,,,,,,,,,,,,,,
20.55,0.2299,-0.0181,,,,,,,,,,,,,,,,,
20.6,0.2281,-0.0169,,,,,,,,,,,,,,,,,
20.65,0.226,-0.016,,,,,,,,,,,,,,,,,
20.7,0.2237,-0.0154,,,,,,,,,,,,,,,,,
20.75,0.2212,-0.0154,,,,,,,,,,,,,,,,,
20.8,0.2185,-0.0157,,,,,,,,,,,,,,,,,
20.85,0.216,-0.0165,,,,,,,,,,,,,,,,,
20.9,0.2137,-0.0175,,,,,,,,,,,,,,,,,
20.95,0.2119,-0.0189,,,,,,,,,,,,,,,,,
21,0.2105,-0.0205,,,,,,,,,,,,,,,,,
21.05,0.2094,-0.0222,,,,,,,,,,,,,,,,,
