Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
16.65,-8.071,0.305,,,,,,,,,,,,,,,,,
16.7,-8.112,0.308,,,,,,,,,,,,,,,,,
16.75,-8.149,0.308,,,,,,,,,,,,,,,,,
16.8,-8.19,0.305,,,,,,,,,,,,,,,,,
16.85,-8.228,0.298,,,,,,,,,,,,,,,,,
16.9,-8.262,0.289,,,,,,,,,,,,,,,,,
16.95,-8.294,0.276,,,,,,,,,,,,,,,,,
17,-8.322,0.261,,,,,,,,,,,,,,,,,
17.05,-8.347,0.245,,,,,,,,,,,,,,,,,
17.1,-8.363,0.232,,,,,,,,,,,,,,,,,
17.15,-8.382,0.223,,,,,,,,,,,,,,,,,
17.2,-8.394,0.214,,,,,,,,,,,,,,,,,
17.25,-8.404,0.21,,,,,,,,,,,,,,,,,
17.3,-8.413,0.207,,,,,,,,,,,,,,,,,
17.35,-8.423,0.21,,,,,,,,,,,,,,,,,
17.4,-8.435,0.217,,,,,,,,,,,,,,,,,
17.45,-8.445,0.226,,,,,,,,,,,,,,,,,
17.5,-8.46,0.242,,,,,,,,,,,,,,,,,
17.55,-8.482,0.254,,,,,,,,,,,,,,,,,
17.6,-8.504,0.27,,,,,,,,,,,,,,,,,
17.65,-8.533,0.286,,,,,,,,,,,,,,,,,
17.7,-8.564,0.298,,,,,,,,,,,,,,,,,
17.75,-8.599,0.311,,,,,,,,,,,,,,,,,
17.8,-8.636,0.317,,,,,,,,,,,,,,,,,
17.85,-8.674,0.324,,,,,,,,,,,,,,,,,
17.9,-8.715,0.324,,,,,,,,,,,,,,,,,
17.95,-8.756,0.32,,,,,,,,,,,,,,,,,
18,-8.793,0.314,,,,,,,,,,,,,,,,,
18.05,-8.828,0.305,,,,,,,,,,,,,,,,,
18.1,-8.862,0.292,,,,,,,,,,,,,,,,,
18.15,-8.891,0.28,,,,,,,,,,,,,,,,,
18.2,-8.916,0.264,,,,,,,,,,,,,,,,,
18.25,-8.938,0.251,,,,,,,,,,,,,,,,,
18.3,-8.954,0.239,,,,,,,,,,,,,,,,,
18.35,-8.966,0.232,,,,,,,,,,,,,,,,,
18.4,-8.979,0.226,,,,,,,,,,,,,,,,,
18.45,-8.988,0.223,,,,,,,,,,,,,,,,,
18.5,-8.998,0.226,,,,,,,,,,,,,,,,,
18.55,-9.01,0.229,,,,,,,,,,,,,,,,,
18.6,-9.023,0.242,,,,,,,,,,,,,,,,,
18.65,-9.038,0.251,,,,,,,,,,,,,,,,,
18.7,-9.054,0.267,,,,,,,,,,,,,,,,,
18.75,-9.079,0.28,,,,,,,,,,,,,,,,,
18.8,-9.104,0.295,,,,,,,,,,,,,,,,,
18.85,-9.136,0.308,,,,,,,,,,,,,,,,,
18.9,-9.173,0.32,,,,,,,,,,,,,,,,,
18.95,-9.208,0.33,,,,,,,,,,,,,,,,,
19,-9.249,0.333,,,,,,,,,,,,,,,,,
19.05,-9.287,0.336,,,,,,,,,,,,,,,,,
19.1,-9.327,0.333,,,,,,,,,,,,,,,,,
19.15,-9.365,0.327,,,,,,,,,,,,,,,,,
19.2,-9.4,0.32,,,,,,,,,,,,,,,,,
19.25,-9.434,0.308,,,,,,,,,,,,,,,,,
19.3,-9.462,0.295,,,,,,,,,,,,,,,,,
19.35,-9.488,0.283,,,,,,,,,,,,,,,,,
19.4,-9.51,0.267,,,,,,,,,,,,,,,,,
