"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
,,,,,,,4.600,0.330,-0.063,0.000,0.0079,-0.001,2.819E-17,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,4.650,0.327,-0.063,-0.035,0.0078,-0.001,-8.333E-4,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,4.700,0.324,-0.063,-0.105,0.0077,-0.001,-0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,4.750,0.320,-0.073,-0.140,0.0076,-0.002,-0.003,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,4.800,0.317,-0.084,-0.070,0.0076,-0.002,-0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,4.850,0.311,-0.084,0.070,0.0074,-0.002,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,4.900,0.308,-0.073,0.140,0.0073,-0.002,0.003,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,4.950,0.305,-0.063,0.105,0.0073,-0.001,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.000,0.302,-0.063,0.070,0.0072,-0.001,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.050,0.298,-0.063,0.105,0.0071,-0.001,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.100,0.295,-0.052,0.140,0.0070,-0.001,0.003,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.150,0.292,-0.042,0.070,0.0070,-1.000E-3,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.200,0.292,-0.042,-0.035,0.0070,-1.000E-3,-8.333E-4,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.250,0.289,-0.052,-0.035,0.0069,-0.001,-8.333E-4,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.300,0.286,-0.052,0.070,0.0068,-0.001,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.350,0.283,-0.042,0.140,0.0067,-1.000E-3,0.003,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.400,0.283,-0.031,0.070,0.0067,-7.500E-4,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.450,0.280,-0.031,-0.035,0.0067,-7.500E-4,-8.333E-4,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.500,0.280,-0.042,-0.035,0.0067,-1.000E-3,-8.333E-4,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.550,0.276,-0.042,0.105,0.0066,-1.000E-3,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.600,0.273,-0.031,0.209,0.0065,-7.500E-4,0.005,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.650,0.273,-0.010,0.140,0.0065,-2.500E-4,0.003,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.700,0.273,-0.010,1.388E-16,0.0065,-2.500E-4,3.253E-18,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.750,0.273,-0.021,-0.035,0.0065,-5.000E-4,-8.333E-4,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.800,0.270,-0.021,0.070,0.0064,-5.000E-4,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.850,0.270,-0.010,0.140,0.0064,-2.500E-4,0.003,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.900,0.270,0.000,0.105,0.0064,0.000,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,5.950,0.270,0.000,0.035,0.0064,0.000,8.333E-4,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,6.000,0.270,0.000,0.000,0.0064,0.000,0.000,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,6.050,0.270,0.000,0.000,0.0064,0.000,0.000,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,6.100,0.270,0.000,-0.035,0.0064,0.000,-8.333E-4,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,6.150,0.270,0.000,-0.105,0.0064,0.000,-0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,6.200,0.270,-0.010,-0.140,0.0064,-2.500E-4,-0.003,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,6.250,0.270,-0.021,-0.070,0.0064,-5.000E-4,-0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,6.300,0.267,-0.021,0.070,0.0064,-5.000E-4,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,6.350,0.267,-0.010,0.140,0.0064,-2.500E-4,0.003,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,6.400,0.267,0.000,0.105,0.0064,0.000,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,6.450,0.267,0.000,0.105,0.0064,0.000,0.002,0.003,0.000,0.000,7.5000E-5,0.000,0.000
,,,,,,,6.500,0.267,0.000,0.314,0.0064,0.000,0.007,0.003,0.000,0.035,7.5000E-5,0.000,8.333E-4
,,,,,,,6.550,0.267,0.021,0.768,0.0064,5.000E-4,0.018,0.003,0.000,0.105,7.5000E-5,0.000,0.002
,,,,,,,6.600,0.267,0.073,1.292,0.0064,0.002,0.031,0.003,0.010,0.175,7.5000E-5,2.500E-4,0.004
,,,,,,,6.650,0.273,0.157,1.641,0.0065,0.004,0.039,0.003,0.021,0.209,7.5000E-5,5.000E-4,0.005
,,,,,,,6.700,0.283,0.251,1.745,0.0067,0.006,0.042,0.006,0.031,0.175,1.5000E-4,7.500E-4,0.004
,,,,,,,6.750,0.298,0.335,1.780,0.0071,0.008,0.042,0.006,0.042,0.105,1.5000E-4,1.000E-3,0.002
,,,,,,,6.800,0.317,0.419,1.955,0.0076,0.010,0.047,0.009,0.042,-5.551E-16,2.2500E-4,1.000E-3,-1.193E-17
,,,,,,,6.850,0.339,0.524,2.234,0.0081,0.012,0.053,0.013,0.042,-0.105,3.0000E-4,1.000E-3,-0.002
,,,,,,,6.900,0.368,0.649,2.339,0.0088,0.015,0.056,0.013,0.031,-0.175,3.0000E-4,7.500E-4,-0.004
,,,,,,,6.950,0.405,0.775,2.094,0.0097,0.018,0.050,0.016,0.021,-0.209,3.7500E-4,5.000E-4,-0.005
,,,,,,,7.000,0.446,0.869,1.641,0.0106,0.021,0.039,0.016,0.010,-0.140,3.7500E-4,2.500E-4,-0.003
,,,,,,,7.050,0.493,0.932,1.187,0.0118,0.022,0.028,0.016,0.000,-1.908E-16,3.7500E-4,0.000,-5.421E-18
,,,,,,,7.100,0.540,0.984,0.838,0.0129,0.023,0.020,0.016,0.010,0.105,3.7500E-4,2.500E-4,0.002
,,,,,,,7.150,0.591,1.016,0.524,0.0141,0.024,0.012,0.016,0.021,0.070,3.7500E-4,5.000E-4,0.002
,,,,,,,7.200,0.644,1.037,0.244,0.0154,0.025,0.006,0.019,0.021,-0.070,4.5000E-4,5.000E-4,-0.002
,,,,,,,7.250,0.694,1.037,0.105,0.0166,0.025,0.002,0.019,0.010,-0.140,4.5000E-4,2.500E-4,-0.003
,,,,,,,7.300,0.748,1.037,0.105,0.0178,0.025,0.002,0.019,0.000,-0.105,4.5000E-4,0.000,-0.002
,,,,,,,7.350,0.798,1.047,0.140,0.0190,0.025,0.003,0.019,0.000,-0.035,4.5000E-4,0.000,-8.333E-4
,,,,,,,7.400,0.851,1.058,0.070,0.0203,0.025,0.002,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,7.450,0.905,1.058,-0.070,0.0216,0.025,-0.002,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,7.500,0.958,1.047,-0.140,0.0229,0.025,-0.003,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,7.550,1.008,1.037,-0.035,0.0241,0.025,-8.333E-4,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,7.600,1.062,1.037,0.209,0.0253,0.025,0.005,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,7.650,1.112,1.058,0.524,0.0265,0.025,0.012,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,7.700,1.166,1.089,0.803,0.0278,0.026,0.019,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,7.750,1.222,1.141,0.873,0.0292,0.027,0.021,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,7.800,1.279,1.194,0.628,0.0305,0.028,0.015,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,7.850,1.341,1.215,0.140,0.0320,0.029,0.003,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,7.900,1.404,1.204,-0.314,0.0335,0.029,-0.007,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,7.950,1.461,1.173,-0.489,0.0349,0.028,-0.012,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,8.000,1.521,1.141,-0.419,0.0363,0.027,-0.010,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,8.050,1.577,1.131,-0.244,0.0376,0.027,-0.006,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,8.100,1.630,1.121,-0.175,0.0389,0.027,-0.004,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,8.150,1.690,1.121,-0.314,0.0403,0.027,-0.007,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,8.200,1.744,1.100,-0.489,0.0416,0.026,-0.012,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,8.250,1.800,1.058,-0.524,0.0430,0.025,-0.012,0.019,0.000,0.000,4.5000E-4,0.000,0.000
,,,,,,,8.300,1.850,1.037,-0.384,0.0442,0.025,-0.009,0.019,0.000,0.000,4.5000E-4,0.000,0.000
